Symptom_ID,Symptom,Key_Parameters_to_Check (X-mapped),Immediate_Action,Diagnostic_Checks,Likely_Root_Causes,Priority
SYM-01,High Vibration,Last Maint; Trip History; Gas Handled; Speed; Molecular Weight; Suction Pressure; Discharge Pressure; Recycle Valve (Anti-Surge Valve) opening %; Power drawn -if motor driven-Current; Power drawn - If turbine driven-steam flow; Lube Oil supply Pressure; Lube Oil supply temperature; Inboard Radial Bearing Temperature; Outboard Radial Bearing Temperature; Thrust bearing Active Temperature,"Stabilize operating point; avoid surge; if trending toward trip limits, execute controlled shutdown.",Check trends + validate instruments; inspect filters/coolers/valves; review vibration spectrum where applicable.,Operation near surge / recycle instability; Rotor imbalance (fouling/impeller damage); Misalignment/soft-foot/coupling issues; Bearing lubrication deficiency (low oil pressure/high temp); Liquid carryover / slugging; Seal rub / internal rubbing; Foundation or piping strain,Critical
SYM-02,High Axial Displacement,Last Maint; Overhaul Reports; Trip History; Gas Handled; Speed; Molecular Weight; Suction Pressure; Discharge Pressure; Discharge Temperature; Balancing Line Pressure; Recycle Valve (Anti-Surge Valve) opening %; Power drawn -if motor driven-Current; Power drawn - If turbine driven-steam flow; Lube Oil supply Pressure; Lube Oil supply temperature,"Stabilize operating point; avoid surge; if trending toward trip limits, execute controlled shutdown.",Check trends + validate instruments; inspect filters/coolers/valves; review vibration spectrum where applicable.,"Thrust bearing wear/overload; Balance line/balance piston seal degradation; Process thrust change (ΔP change, recycle swings); Rotor rub (axial); Instrumentation drift of axial probes",Critical
SYM-03,Higher power drawn,Trip History; Gas Handled; Speed; Molecular Weight; Suction Pressure; Suction Temperature; Suction Flow; Discharge Pressure; Discharge Temperature; Balancing Line Pressure; Recycle Valve (Anti-Surge Valve) opening %; Power drawn -if motor driven-Current; Power drawn - If turbine driven-steam flow; Inboard Radial Bearing Temperature; Outboard Radial Bearing Temperature,"Stabilize operating point; avoid surge; if trending toward trip limits, execute controlled shutdown.",Check trends + validate instruments; inspect filters/coolers/valves; review vibration spectrum where applicable.,Operating away from best efficiency point (BEP); Fouled compressor internals / increased losses; Higher gas density/MW or higher flow demand; Higher pressure ratio (discharge pressure up); Intercooler fouling leading to higher work,Medium
SYM-04,Surge Spikes/Surging,Trip History; Gas Handled; Speed; Molecular Weight; Suction Pressure; Suction Temperature; Suction Flow; Suction Valve Opening % or Inlet Guide Vane opening %; Discharge Pressure; Discharge Temperature; Discharge Flow; Balancing Line Pressure; Recycle Valve (Anti-Surge Valve) opening %; Power drawn -if motor driven-Current; Power drawn - If turbine driven-steam flow,Open recycle / reduce load or speed immediately to recover surge margin and stop surging.,Check trends + validate instruments; inspect filters/coolers/valves; review vibration spectrum where applicable.,Low flow demand / recycle loop instability; Suction restriction (strainer/filter plugging); Faulty flow/DP signal to anti-surge controller; Recycle valve stiction/slow response; Rapid process disturbances upstream/downstream,Critical
SYM-05,High Radial bearing Temperature,Last Maint; Overhaul Reports; Trip History; Gas Handled; Speed; Molecular Weight; Suction Pressure; Discharge Pressure; Recycle Valve (Anti-Surge Valve) opening %; Power drawn -if motor driven-Current; Power drawn - If turbine driven-steam flow; Lube Oil supply Pressure; Lube Oil supply temperature; Inboard Radial Bearing Temperature; Outboard Radial Bearing Temperature,"Stabilize operating point; avoid surge; if trending toward trip limits, execute controlled shutdown.",Check trends + validate instruments; inspect filters/coolers/valves; review vibration spectrum where applicable.,Low lube oil pressure or flow; High lube oil temperature / low viscosity; Bearing wear/contamination; Misalignment causing bearing loading; Cooling water upset / cooler fouling,Critical
SYM-06,High Thrust Bearing Temperature,Last Maint; Overhaul Reports; Trip History; Gas Handled; Speed; Molecular Weight; Suction Pressure; Suction Flow; Suction Valve Opening % or Inlet Guide Vane opening %; Discharge Pressure; Discharge Flow; Balancing Line Pressure; Recycle Valve (Anti-Surge Valve) opening %; Power drawn -if motor driven-Current; Power drawn - If turbine driven-steam flow,"Stabilize operating point; avoid surge; if trending toward trip limits, execute controlled shutdown.",Check trends + validate instruments; inspect filters/coolers/valves; review vibration spectrum where applicable.,Thrust bearing pad damage / wipe; High axial thrust due to balance piston issues; Recycling/surge causing thrust reversals; Low oil pressure/high oil temp; Axial rub or seal drag,Critical
SYM-07,High Discharge Temperature,Gas Handled; Speed; Molecular Weight; Suction Pressure; Suction Temperature; Suction Flow; Suction Valve Opening % or Inlet Guide Vane opening %; Discharge Pressure; Discharge Temperature; Discharge Flow; Recycle Valve (Anti-Surge Valve) opening %; Interstage Cooler Gas Inlet Temperature; Interstage Cooler Gas Outler Temperature; Interstage Cooler Cooling Water Inlet Temperature; Interstage Cooler Cooling Water Outler Temperature,Increase cooling duty; reduce load if temperatures continue rising.,Check trends + validate instruments; inspect filters/coolers/valves; review vibration spectrum where applicable.,High pressure ratio / low suction pressure; Low flow / recycle/surge; Interstage cooler fouling / low CW flow; High suction temperature; Internal fouling reducing efficiency,High
SYM-08,Low Discharge Flow,Last Maint; Overhaul Reports; Trip History; Availabiiity %; Gas Handled; Speed; Molecular Weight; Suction Pressure; Suction Temperature; Suction Flow; Suction Valve Opening % or Inlet Guide Vane opening %; Suction Strainer (filter) Differential Presure; Discharge Pressure; Discharge Temperature; Discharge Flow,"Stabilize operating point; avoid surge; if trending toward trip limits, execute controlled shutdown.",Check trends + validate instruments; inspect filters/coolers/valves; review vibration spectrum where applicable.,Suction restriction (strainer/filter/valve); Low speed / driver limitation; Recycle valve open (low net flow); Process demand reduction; Instrumentation error (flow transmitter),High
SYM-09,High Suction Pressure,Gas Handled; Speed; Suction Pressure; Suction Temperature; Suction Flow; Suction Drum Pressure; Suction Valve Opening % or Inlet Guide Vane opening %; Suction Strainer (filter) Differential Presure; Discharge Pressure; Discharge Temperature; Discharge Flow; Balancing Line Pressure; Recycle Valve (Anti-Surge Valve) opening %; Interstage Cooler Gas Inlet Temperature; Power drawn -if motor driven-Current,"Stabilize operating point; avoid surge; if trending toward trip limits, execute controlled shutdown.",Check trends + validate instruments; inspect filters/coolers/valves; review vibration spectrum where applicable.,Upstream process upset / higher upstream pressure; Suction valve/IGV control issue; Recycle backflow raising suction pressure; Suction drum control issue,Medium
SYM-10,Low Discharge Pressure,Last Maint; Overhaul Reports; Trip History; Gas Handled; Speed; Molecular Weight; Suction Pressure; Suction Temperature; Suction Flow; Suction Drum Pressure; Suction Valve Opening % or Inlet Guide Vane opening %; Suction Strainer (filter) Differential Presure; Discharge Pressure; Discharge Temperature; Discharge Flow,"Stabilize operating point; avoid surge; if trending toward trip limits, execute controlled shutdown.",Check trends + validate instruments; inspect filters/coolers/valves; review vibration spectrum where applicable.,Recycle valve open (near surge); Low speed; Internal damage/fouling reducing head; High suction temperature / low density; Leakage (seal/clearance),High
