Relationship_ID,Relationship_Type,From_Parameter_ID,From_Parameter_Name,From_Category,To_ID,To_Name,Direction,Strength,Evidence,Notes
REL-00001,Parameter->Symptom,PAR-HIST-01,Last Maint,Compressor Historical/Performance Data (Source- SAP/Site supplied data),SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00002,Parameter->Symptom,PAR-HIST-04,Trip History,Compressor Historical/Performance Data (Source- SAP/Site supplied data),SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00003,Parameter->Symptom,PAR-PROC-01,Gas Handled,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00004,Parameter->Symptom,PAR-PROC-02,Speed,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00005,Parameter->Symptom,PAR-PROC-03,Molecular Weight,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00006,Parameter->Symptom,PAR-PROC-04,Suction Pressure,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00007,Parameter->Symptom,PAR-PROC-10,Discharge Pressure,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00008,Parameter->Symptom,PAR-PROC-14,Recycle Valve (Anti-Surge Valve) opening %,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-01,High Vibration,Direct,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00009,Parameter->Symptom,PAR-PROC-19,Power drawn -if motor driven-Current,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00010,Parameter->Symptom,PAR-PROC-20,Power drawn - If turbine driven-steam flow,Process Parameters- Source- OSI/PI/SEEQ/DCS/Other,SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00011,Parameter->Symptom,PAR-LO-01,Lube Oil supply Pressure,Lubrication System,SYM-01,High Vibration,Inverse,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00012,Parameter->Symptom,PAR-LO-02,Lube Oil supply temperature,Lubrication System,SYM-01,High Vibration,Direct,Med,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00013,Parameter->Symptom,PAR-BRG-01,Inboard Radial Bearing Temperature,Compressor Bearing Temperature (Source- System-1/other),SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00014,Parameter->Symptom,PAR-BRG-02,Outboard Radial Bearing Temperature,Compressor Bearing Temperature (Source- System-1/other),SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00015,Parameter->Symptom,PAR-BRG-03,Thrust bearing Active Temperature,Compressor Bearing Temperature (Source- System-1/other),SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00016,Parameter->Symptom,PAR-BRG-04,Thrust bearing In-active Temperature,Compressor Bearing Temperature (Source- System-1/other),SYM-01,High Vibration,Context,Low,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00017,Parameter->Symptom,PAR-VIB-01,Inboard X probe,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-01,High Vibration,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00018,Parameter->Symptom,PAR-VIB-02,Inboard Y probe,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-01,High Vibration,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
REL-00019,Parameter->Symptom,PAR-VIB-04,Outboard Y probe,Compressor Vibration/Axial Displacemen (Source- System-1/Other),SYM-01,High Vibration,Direct,High,X in CC_symptoms.xlsx matrix,Direction/Strength by engineering judgement
